title,artist,url
"I Can’t Get Enough (benny blanco, Selena Gomez, J Balvin, Tainy)",benny blanco,https://open.spotify.com/track/1WSGTYKLEpKfNQYYW5Oymt
No Te Debí Besar,"C. Tangana, Paloma Mami",https://open.spotify.com/track/1KdwnsWOvhM53vezy5ROuf
Dancing With A Stranger (with Normani),Sam Smith,https://open.spotify.com/track/6Qs4SXO9dwPj5GKvVOv8Ki
Klai (Closer),SCRUBB,https://open.spotify.com/track/4r3UvwePMdXPJrqFautgTq
Fuentes de Ortiz,Ed Maverick,https://open.spotify.com/track/0akyEssGRVHstqCSWXusJL
Adicto (with Anuel AA & Ozuna),Tainy,https://open.spotify.com/track/3jbT1Y5MoPwEIpZndDDwVq
Window,Joji,https://open.spotify.com/track/7kdhk2tiGUgIPwZRd2if6I
Adriana,RAF Camora,https://open.spotify.com/track/5YbcMbH4xHRfep9rSxLRDt
No Me Conoce - Remix,"Jhay Cortez, J Balvin, Bad Bunny",https://open.spotify.com/track/4R8BJggjosTswLxtkw8V7P
Prendi (feat. El Mayor Clasico),Lirico En La Casa,https://open.spotify.com/track/56b7aAQIK1p2sQlqnm4K91
Astronaut In The Ocean,Masked Wolf,https://open.spotify.com/track/0BGwAKW4u8kWOhWFflZxfl
Darkside,"Alan Walker, Au/Ra, Tomine Harket",https://open.spotify.com/track/6SRWhUJcD2YKahCwHavz3X
Bài Hát Của Em,Trang,https://open.spotify.com/track/3qwSk0zC9bgfb5JwdoKVvQ
I'm a Mess,Bebe Rexha,https://open.spotify.com/track/04ZTP5KsCypmtCmQg5tH9R
Santa Tell Me,Ariana Grande,https://open.spotify.com/track/0lizgQ7Qw35od7CYaoMBZb
Fantasias,"Rauw Alejandro, Farruko",https://open.spotify.com/track/6mAN61JH0dzyZpWslS11jy
Way Back then,jung jaeil,https://open.spotify.com/track/1QZlW9PmwtZtHKraGG1JdB
Swalla (feat. Nicki Minaj & Ty Dolla $ign),Jason Derulo,https://open.spotify.com/track/6kex4EBAj0WHXDKZMEJaaF
SUTRA,"Sebastian Yatra, Dalmata",https://open.spotify.com/track/5TmZYdHW6HJ9gt7Aokuql5
High Hopes,Panic! At The Disco,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom
The Other,Lauv,https://open.spotify.com/track/1lntL1cI2UIWlxjL5QiN8g
Baila Conmigo (feat. Kelly Ruiz),"Dayvi, Victor Cardenas, Kelly Ruíz",https://open.spotify.com/track/4Clmg1g8n2yBYG13Z1oSdG
Calidad Y Cantidad,La Arrolladora Banda El Limón De Rene Camacho,https://open.spotify.com/track/0nfp44XFmPrLDMMmYfNIP3
WITHOUT YOU,The Kid LAROI,https://open.spotify.com/track/27OeeYzk6klgBh83TSvGMA
Another Love,Tom Odell,https://open.spotify.com/track/7jtQIBanIiJOMS6RyCx6jZ
LOYALTY. FEAT. RIHANNA.,Kendrick Lamar,https://open.spotify.com/track/6SwRhMLwNqEi6alNPVG00n
Cake - Challenge Version,"Flo Rida, 99 Percent",https://open.spotify.com/track/6t2ubAB4iSYOuIpRAOGd4t
Nice For What,Drake,https://open.spotify.com/track/3CA9pLiwRIGtUBiMjbZmRw
Aullando,"Wisin & Yandel, Romeo Santos",https://open.spotify.com/track/7BuHdm4lQqcyG3qTwdkxus
You Don't Know Me - Radio Edit,"Jax Jones, RAYE",https://open.spotify.com/track/00lNx0OcTJrS3MKHcB80HY
Lush Life,Zara Larsson,https://open.spotify.com/track/1rIKgCH4H52lrvDcz50hS8
Costa Rica,Benjamin Ingrosso,https://open.spotify.com/track/6iM9PebIqd6fiUlcxm4Fkp
trời giấu trời mang đi,AMEE,https://open.spotify.com/track/1ecVks3GJX8U67DvhVDVBn
Perra,Elilluminari,https://open.spotify.com/track/53GuGDwZqQUA9kATFaV7sS
A-O-K,Tai Verdes,https://open.spotify.com/track/1sx0XsWUusUoPstbvokZjP
Dizeres,"Orgânico, Lourena, Sant, Rap Box",https://open.spotify.com/track/3Vc8vnid3noqupe9PvUKxP
Rise,"Jonas Blue, Jack & Jack",https://open.spotify.com/track/5ZSl6gDoV6bPPxzmLeneV9
Bíum bíum bambaló,Hafdís Huld,https://open.spotify.com/track/5S2wLOfH1u9iSUQy8NtvRZ
This Feeling,"The Chainsmokers, Kelsea Ballerini",https://open.spotify.com/track/4NBTZtAt1F13VvlSKe6KTl
wish you were gay,Billie Eilish,https://open.spotify.com/track/3Fj47GNK2kUF0uaEDgXLaD
Mine,Bazzi,https://open.spotify.com/track/6tHWl8ows5JOZq9Yfaqn3M
Princesses Don't Cry,Aviva,https://open.spotify.com/track/3mbL70beTjRVn8JSiU6LiW
Mood (feat. iann dior),24kGoldn,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq
Omae Wa Mou,Shayne Orok,https://open.spotify.com/track/1M8rJIlT5HcGmvzZyssBlG
Break My Heart,Dua Lipa,https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT
I Love You 3000,Stephanie Poetri,https://open.spotify.com/track/3znQ9i61vfe2E7URHlOiyc
Amarillo,J Balvin,https://open.spotify.com/track/6zEgnpM0qYmHLDnh8WPejL
Better,"Lil Yachty, Stefflon Don",https://open.spotify.com/track/49EgauTc1cGkHwPGCaHh1f
Sanguine Paradise,Lil Uzi Vert,https://open.spotify.com/track/3XiNC94b4Tq1xwv70sQJGN
Kalbim Çukurda,"Gazapizm, Cem Adrian",https://open.spotify.com/track/4JGbgwywXpX5CYHwq1VT1S
This Girl (Kungs Vs. Cookin' On 3 Burners),Kungs,https://open.spotify.com/track/0tICYNayWWhH9GPeFrfjfD
Summertime Magic,Childish Gambino,https://open.spotify.com/track/4j3GWI86JvSaF0BLdmgcfF
Sígueme - Remix,"Feid, Sech",https://open.spotify.com/track/7IpRYJ71dk98P0SmgnNLYh
Scars To Your Beautiful,Alessia Cara,https://open.spotify.com/track/0prNGof3XqfTvNDxHonvdK
Despacito (Featuring Daddy Yankee),Luis Fonsi,https://open.spotify.com/track/4aWmUDTfIPGksMNLV2rQP2
Love Someone,Lukas Graham,https://open.spotify.com/track/2JqnpexlO9dmvjUMCaLCLJ
Sunflower - Spider-Man: Into the Spider-Verse,"Post Malone, Swae Lee",https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P
Pololo,"MHD, Tiakola",https://open.spotify.com/track/2XLPtKom1ixf7IJgPsPAvp
Mala Mía,"LIT killah, Duki",https://open.spotify.com/track/7FfQ2E4LqvwKKOyKXyC2L2
Eina Sem Ég Vil,"ClubDub, Ra:tio, Aron Can",https://open.spotify.com/track/52oeIc4mgVs9J0o0QuZEag
Péssimo Negócio (Ao Vivo),Dilsinho,https://open.spotify.com/track/5MMrkwK6AgNAsgHVdC7daZ
China,"Anuel AA, Daddy Yankee, KAROL G, J Balvin, Ozuna",https://open.spotify.com/track/2ksOAxtIxY8yElEWw8RhgK
"I Can’t Get Enough (benny blanco, Selena Gomez, J Balvin, Tainy)",benny blanco,https://open.spotify.com/track/1WSGTYKLEpKfNQYYW5Oymt
Bardzo przepraszam,"Bedoes, Kubi Producent",https://open.spotify.com/track/5qLymEWEwjSMhBlnPX9JOQ
La thune,Angèle,https://open.spotify.com/track/3iBOe7U7kRPNIoL3QLCVu2
缺,Hins Cheung,https://open.spotify.com/track/27RQbXMyZMqOjFvSg5slg4
Gan-Ga - Remix,"Bryant Myers, Anuel AA",https://open.spotify.com/track/27qRmG3zOWPvMYUkpPdQ1g
I Fall Apart,Post Malone,https://open.spotify.com/track/75ZvA4QfFiZvzhj2xkaWAh
Tusa,"KAROL G, Nicki Minaj",https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
我有多麼喜歡你 (feat. 林宥嘉),"Jam Hsiao, Yoga Lin",https://open.spotify.com/track/4ocbEHPHKDfGZz6va77bEo
"Udsigt (feat. Benny Jamz, Gilli & MellemFingaMuzik)",Molo,https://open.spotify.com/track/1R4PoVKxxZWJqw7J4w4bJS
Kermal Allah,Nassif Zeytoun,https://open.spotify.com/track/1pJB3IkToEAyh1gQlNw2W7
Qué Tienes Tú (feat. Jesús de Reik & Mau y Ricky),"Dvicio, Jesús Reik",https://open.spotify.com/track/4txQPJDlvU72lC6EMhT7m9
Night Light,The Rions,https://open.spotify.com/track/5g4VW1FmFDXixu1VEiHAVz
La Dosis Perfecta,Panteon Rococo,https://open.spotify.com/track/7qKtcEDbth6kOM5s4uJzw3
Ruin My Life,Zara Larsson,https://open.spotify.com/track/5tAa8Uaqr4VvA3693mbIhU
Wellerman - Sea Shanty / 220 KID x Billen Ted Remix,Nathan Evans,https://open.spotify.com/track/3iw6V4LH7yPj1ESORX9RIN
Au DD,PNL,https://open.spotify.com/track/5lCxlSBFyP5g4EhVypAoOu
Tu Foto,Ozuna,https://open.spotify.com/track/0Szp49tpFasIjX04Mcsydp
Be Around Me,Will Joseph Cook,https://open.spotify.com/track/08x5le4w5CXDWoPMVF61kJ
Miracle 2020 - DiMO (BG) Radio Mix,"DiMO (BG), Vera Russo",https://open.spotify.com/track/5eWN2iptw5Mcvg3cYeBykD
In the Dark,Camila Cabello,https://open.spotify.com/track/1GO9vCm5Cra5uWGSWQ5mGK
Otro Trago,"Sech, Darell",https://open.spotify.com/track/1Ej96GIBCTvgH7tNX1r3qr
Daddy Issues,The Neighbourhood,https://open.spotify.com/track/5E30LdtzQTGqRvNd7l6kG5
Savana 2,"Marko Glass, Bvcovia",https://open.spotify.com/track/399MLVoQbxi9MTNqMRy575
Anywhere,Rita Ora,https://open.spotify.com/track/7EI6Iki24tBHAMxtb4xQN2
Amor A Primera Vista,"Los Ángeles Azules, Belinda, Lalo Ebratt, Horacio Palencia",https://open.spotify.com/track/1E7RHPXA9sZ30qfms18J7J
Tattoo,Rauw Alejandro,https://open.spotify.com/track/7na7Bk98usp84FaOJFPv3d
Anděl,Mirai,https://open.spotify.com/track/2PXzDUewoYECb7VVS4XJ9w
Riptide,Vance Joy,https://open.spotify.com/track/7yq4Qj7cqayVTp3FF9CWbm
Dreams - 2004 Remaster,Fleetwood Mac,https://open.spotify.com/track/0ofHAoxe9vBkTCp2UQIavz
Don't Start Now,Dua Lipa,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
קירות,Itay Levi,https://open.spotify.com/track/1UM18grarSYZwgeEFjqM4y
"Pojď, zapomenem",Mirai,https://open.spotify.com/track/0zl7cbh50cqIYx1KfvdS09
Shape of You,Ed Sheeran,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
Hear Me Now,"Alok, Bruno Martini, Zeeba",https://open.spotify.com/track/1a5Yu5L18qNxVhXx38njON
Răng Khôn (feat. RIN9),Phí Phương Anh,https://open.spotify.com/track/2c0QMztYu6PCfFrGLqHXIV
你敢不敢,LaLa Hsu,https://open.spotify.com/track/2bkrZWJ7JRXPOal7pWiyDO
Fragen,"Azet, Zuna",https://open.spotify.com/track/3gs4lX2JSAFc8v8piogE3i
Arcade,Duncan Laurence,https://open.spotify.com/track/1J14CdDAvBTE1AJYUOwl6C
自我的介紹 (in peace),Crowd Lu,https://open.spotify.com/track/0xMSz7YsG2NVmptN0fgGHv
CANCIÓN CON YANDEL,"Yandel, Bad Bunny",https://open.spotify.com/track/3pm4XtcsRIFFtH2UErk62R
Faded,Alan Walker,https://open.spotify.com/track/7gHs73wELdeycvS48JfIos
Seek Bromance - Avicii Vocal Edit,Tim Berg,https://open.spotify.com/track/6J7ZSdEEYo3ns4gnHdwRL0
Se Preparó,Ozuna,https://open.spotify.com/track/1m69ELEgE6k5ZWsap40ozt
512,"Mora, Jhay Cortez",https://open.spotify.com/track/5jzEwSyyymBlf1fa1o39T2
